,Nome Científico,Nome Comum,Consta em Lista Nacional Oficial,Estado,Região,Bioma,Unidade de Conservação Federal,Unidade de Conservação Estadual,RPPN,Grupo taxonômico,Ordem_y,Família_y,Nome avaliação anterior,Categoria em 2014,Sugestão de Categoria 2021,EW,CR,"EN,",VU,RE,EX,Mesma Categoria de Ameaça 2014,Aumentou a Categoria de Ameaça,Reduziu a Categoria de Ameaça,Entrou em Categoria de Ameaça,Saiu da Categoria de Ameaça,Mantida a Categoria 2014  por não ter reavaliação ou validação
0,Apareiodon davisi,Peixe-rei,Sim,"Ceará, Paraíba, Pernambuco, Rio Grande do Norte",Nordeste,"Caatinga, Mata Atlântica",,,,Peixes Continentais,Characiformes,Parodontidae,,Em Perigo (EN),Em Perigo (EN),,,X,,,,X,,,,,X
1,Myloplus tiete,Pacu-prata,Sim,"Goiás, Mato Grosso do Sul, Minas Gerais, Paraná, São Paulo","Centro-Oeste, Sudeste, Sul","Cerrado, Mata Atlântica",,,,Peixes Continentais,Characiformes,Serrasalmidae,Myleus tiete,Em Perigo (EN),Em Perigo (EN),,,X,,,,X,,,,,X
2,Brycon devillei,Piabinha,Sim,"Bahia, Minas Gerais","Nordeste, Sudeste","Cerrado, Mata Atlântica",,,,Peixes Continentais,Characiformes,Characidae,,Em Perigo (EN),Em Perigo (EN),,,X,,,,X,,,,,X
3,Bryconamericus lambari,Lambari,Sim,Rio Grande do Sul,Sul,Mata Atlântica,,,,Peixes Continentais,Characiformes,Characidae,,Em Perigo (EN),Em Perigo (EN),,,X,,,,X,,,,,X
4,Diapoma pyrrhopteryx,Lambari,Sim,"Rio Grande do Sul, Santa Catarina",Sul,"Mata Atlântica, Pampa",,,,Peixes Continentais,Characiformes,Characidae,,Em Perigo (EN),Em Perigo (EN),,,X,,,,X,,,,,X
5,Henochilus wheatlandii,Andirá,Sim,Minas Gerais,Sudeste,Mata Atlântica,,,,Peixes Continentais,Characiformes,Characidae,,Criticamente em Perigo (CR),Criticamente em Perigo (CR),,X,,,,,X,,,,,X
6,Hollandichthys taramandahy,Lambari-listrado,Sim,"Rio Grande do Sul, Santa Catarina",Sul,Mata Atlântica,,,,Peixes Continentais,Characiformes,Characidae,,Em Perigo (EN),Em Perigo (EN),,,X,,,,X,,,,,X
7,Rachoviscus crassiceps,Lambari-da-restinga,Sim,"Paraná, Santa Catarina, São Paulo","Sudeste, Sul",Mata Atlântica,,,,Peixes Continentais,Characiformes,Characidae,,Em Perigo (EN),Em Perigo (EN),,,X,,,,X,,,,,X
8,Spintherobolus leptoura,Lambari,Sim,"Paraná, São Paulo","Sudeste, Sul",Mata Atlântica,,,,Peixes Continentais,Characiformes,Characidae,,Em Perigo (EN),Em Perigo (EN),,,X,,,,X,,,,,X
9,Stygichthys typhlops,Piaba-branca,Sim,Minas Gerais,Sudeste,"Caatinga, Cerrado",,,,Peixes Continentais,Characiformes,Characidae,,Em Perigo (EN),Em Perigo (EN),,,X,,,,X,,,,,X
