,ID_nome_comum,fk_nome_cientifico
0,0,Arhysosage cactorum
1,0,Partamona littoralis
2,1,Arhysosage cactorum
3,2,Baryancistrus longipinnis
4,2,Baryancistrus niveatus
5,3,Harttia depressa
6,3,Harttia dissidens
7,4,Scobinancistrus aureatus
8,4,Scobinancistrus pariolispos
9,5,Leporacanthicus joselimai
10,6,Leptagrion bocainense
11,7,Serpophaga hypoleuca pallida
12,8,Charinus acaraje
13,8,Charinus potiguar
14,8,Charinus asturius
15,9,Iodopleura pipra
16,9,Iodopleura pipra leucopygia
17,10,Geositta poeciloptera
18,11,Henochilus wheatlandii
19,12,Potiberaba porakuara
20,13,Tapirus terrestris
21,14,Touit melanonotus
22,15,Leporinus guttatus
23,15,Leporinus pitingai
24,16,Ianduba paubrasil
25,16,Celaetycheus mungunza
26,16,Metagonia potiguar
27,16,Matagaia chromatopus
28,16,Neonella noronha
29,16,Typhochlaena curumim
30,16,Harmonicon cerberus
31,16,Speocera eleonorae
32,16,Ybyrapora diversipes
33,16,Ybyrapora gamba
34,16,Typhochlaena seladonia
35,16,Drymusa spelunca
36,16,Isoctenus corymbus
37,16,Ochyrocera ibitipoca
38,16,Dolichothele diamantinensis
39,16,Pterinopelma sazimai
40,17,Discocyrtus pedrosoi
41,18,Typhochlaena curumim
42,18,Harmonicon cerberus
43,18,Tmesiphantes hypogeus
44,18,Ybyrapora diversipes
45,18,Ybyrapora gamba
46,18,Typhochlaena seladonia
47,18,Dolichothele diamantinensis
48,18,Pterinopelma sazimai
49,19,Charinus acaraje
50,19,Charinus potiguar
51,19,Charinus eleonorae
52,19,Charinus troglobius
53,19,Charinus asturius
54,20,Harmonicon cerberus
55,21,Metagonia potiguar
56,21,Metagonia diamantina
57,22,Discocyrtus pedrosoi
58,23,Ianduba paubrasil
59,24,Matagaia chromatopus
60,24,Neonella noronha
61,25,Xiphocolaptes carajaensis
62,26,Xiphocolaptes falcirostris
63,27,Hylexetastes uniformis
64,28,Campylorhamphus trochilirostris trochilirostris
65,29,Procnias albus wallacei
66,30,Pteroglossus bitorquatus bitorquatus
67,31,Ceratophrys ornata
68,32,Pteronura brasiliensis
69,33,Megalobulimus cardosoi
70,34,Mcclungia cymo fallens
71,35,Episcada vitrea
72,36,Caretta caretta
73,37,Morpho menelaus eberti
74,38,Chasmocranus brachynemus
75,39,Xipholena lamellipennis
76,40,Hydropsalis candicans
77,41,Mycteroperca interstitialis
78,42,Mycteroperca interstitialis
79,43,Hyporthodus niveatus
80,44,Epinephelus itajara
81,45,Pimelodella kronei
82,46,Rhamdiopsis krugi
83,47,Trichomycterus dali
84,48,Glaphyropoma spinosum
85,48,Ituglanis epikarsticus
86,48,Ituglanis passensis
87,48,Ituglanis bambui
88,48,Ituglanis ramiroi
89,49,Chasmocranus brachynemus
90,50,Heptapterus multiradiatus
91,51,Taunayia bifasciata
92,52,Sphaenorhynchus bromelicola
93,53,Balaenoptera musculus
94,54,Balaenoptera physalus
95,55,Eubalaena australis
96,56,Eubalaena australis
97,57,Eubalaena australis
98,58,Balaenoptera borealis
99,59,Myrmecophaga tridactyla
100,60,Phalloptychus eigenmanni
101,60,Phallotorynus fasciolatus
102,60,Cnesterodon carnegiei
103,60,Cnesterodon omorgmatos
104,61,Ceratophrys ornata
105,62,Ateuchus squalidus
106,63,Mustelus canis
107,64,Xenops minutus alagoanus
108,65,Sparisoma axillare
109,65,Sparisoma frondosum
110,66,Mustelus schmitti
111,67,Epinephelus itajara
112,68,Mustelus canis
113,69,Sparisoma rocha
114,70,Drephalys mourei
115,70,Parelbella polyzona
116,70,Pseudocroniades machaon seabrai
117,70,Turmosa camposa
118,70,Magnastigma julia
119,70,Strymon ohausi
120,70,Actinote quadra
121,70,Dasyophthalma geraensis
122,70,Dasyophthalma rusina delanira
123,70,Dasyophthalma vertebralis
124,70,Doxocopa zalmunna
125,70,Episcada vitrea
126,70,Eresia erysice erysice
127,70,Euptychia boulleti
128,70,Hamadryas velutina browni
129,70,Heliconius nattereri
130,70,Hyalyris fiammetta
131,70,Mcclungia cymo fallens
132,70,Melinaea mnasias thera
133,70,Morpho epistrophus nikolajewna
134,70,Morpho menelaus eberti
135,70,Napeogenes rhezia rhezia
136,70,Orobrassolis ornamentalis
137,70,Pampasatyrus glaucope glaucope
138,70,Pampasatyrus gyrtone
139,70,Paulogramma hydarnis
140,70,Polygrapha suprema
141,70,Prepona deiphile
142,70,Scada karschina delicata
143,70,Tithorea harmonia caissara
144,70,Heraclides himeros baia
145,70,Heraclides himeros himeros
146,70,Mimoides lysithous harrisianus
147,70,Mimoides lysithous sebastianus
148,70,Parides bunichus chamissonia
149,70,Parides klagesi
150,70,Parides panthonus castilhoi
151,70,Parides tros danunciae
152,70,Charonias theano
153,70,Cunizza hirlanda fulvinota
154,70,Cunizza hirlanda planasia
155,70,Glennia pylotis
156,70,Moschoneura pinthous methymna
157,70,Joiceya praeclarus
158,70,Panara ovifera
159,70,Petrocerus catiena
160,70,Rhetus belphegor
161,70,Voltinia sanarita
162,70,Drephalys miersi
163,70,Adelpha atlantica
164,70,Forsterinaria itatiaia
165,70,Pampasatyrus glaucope eberti
166,70,Pampasatyrus reticulata gagarini
167,70,Praepedaliodes sequeirae
168,70,Yphthimoides iserhardi
169,70,Actinote zikani
170,70,Arawacus aethesa
171,70,Perrhybris pamela flava
172,70,Pampasatyrus glaucope boenninghauseni
173,70,Zonia zonia diabo
174,71,Strymon ohausi
175,71,Joiceya praeclarus
176,71,Petrocerus catiena
177,71,Arawacus aethesa
178,72,Parides ascanius
179,73,Actinote quadra
180,73,Actinote zikani
181,74,Parides burchellanus
182,75,Inia geoffrensis
183,75,Sotalia guianensis
184,75,Tursiops gephyreus
185,76,Inia geoffrensis
186,77,Pontoporia blainvillei
187,78,Pontoporia blainvillei
188,79,Sotalia guianensis
189,80,Inia geoffrensis
190,81,Tursiops gephyreus
191,82,Tursiops gephyreus
192,83,Inia araguaiaensis
193,84,Inia geoffrensis
194,85,Chaetomys subspinosus
195,86,Chaetomys subspinosus
196,87,Xenohyla truncata
197,88,Sparisoma axillare
198,88,Sparisoma frondosum
199,89,Halichoeres rubrovirens
200,90,Euryoryzomys lamia
201,91,Brachyteles arachnoides
202,92,Brachyteles arachnoides
203,93,Lepidothrix iris
204,94,Carcharhinus obscurus
205,95,Mycteroperca interstitialis
206,96,Mycteroperca interstitialis
207,97,Glaucidium mooreorum
208,98,Physeter macrocephalus
209,99,Atelocynus microtis
210,100,Cebus kaapori
211,101,Hyalella caeca
212,102,Lophiosilurus alexandri
213,102,Sphyrna mokarran
214,103,Cambeva paolence
215,104,Listrura camposi
216,105,Sphyrna zygaena
217,106,Juscelinomys candango
218,107,Juscelinomys candango
219,108,Cambeva crassicaudata
220,108,Cambeva igobi
221,108,Cambeva mboycy
222,109,Mustelus schmitti
223,110,Panthera onca
224,111,Characidium grajahuensis
225,112,Hypocnemis striata
226,113,Akodon mystax
227,114,Tomigerus gibberulus
228,114,Hypselartemon alveus
229,115,Gonyostomus insularis
230,116,Potamolithus karsticus
231,117,Pomacea sordida
232,117,Lymnaea rupestris
233,117,Plesiophysa dolichomastix
234,118,Potamolithus troglobius
235,119,Plesiophysa dolichomastix
236,120,Potamolithus troglobius
237,121,Johngarthia lagostoma
238,122,Lutjanus cyanopterus
239,123,Lutjanus cyanopterus
240,124,Lutjanus cyanopterus
241,125,Caretta caretta
242,126,Dermochelys coriacea
243,127,Dermochelys coriacea
244,128,Rhipidomys cariri
245,129,Plesioptopoma curvidens
246,129,Microlepidogaster perforatus
247,129,Parotocinclus spilurus
248,130,Otothyris juquiae
249,131,Ancistrus cryptophthalmus
250,132,Pseudotocinclus juquiae
251,133,Pseudotocinclus tietensis
252,134,Neoplecostomus botucatu
253,134,Pogonopoma parahybae
254,134,Delturus parahybae
255,134,Hypostomus subcarinatus
256,134,Isbrueckerichthys saxicola
257,135,Ancistrus formoso
258,136,Delturus parahybae
259,137,Pogonopoma obscurum
260,138,Squatina occulta
261,139,Squatina argentina
262,140,Squatina guggenheim
263,141,Squatina guggenheim
264,142,Squatina occulta
265,143,Carcharhinus porosus
266,144,Carcharhinus obscurus
267,145,Galeorhinus galeus
268,145,Mustelus schmitti
269,146,Mustelus canis
270,147,Notorynchus cepedianus
271,148,Mustelus schmitti
272,149,Rhincodon typus
273,150,Carcharhinus obscurus
274,151,Mustelus fasciatus
275,152,Ginglymostoma cirratum
276,153,Mustelus fasciatus
277,154,Sphyrna media
278,155,Carcharhinus signatus
279,156,Isogomphodon oxyrhynchus
280,157,Mustelus schmitti
281,158,Cryptops iporangensis
282,158,Cryptops spelaeoraptor
283,158,Scolopendropsis duplicata
284,159,Hyporthodus niveatus
285,160,Gyldenstolpia planaltensis
286,161,Thalpomys cerradensis
287,162,Hyporthodus niveatus
288,163,Hyporthodus niveatus
289,164,Hyporthodus niveatus
290,165,Hyporthodus niveatus
291,166,Hyporthodus niveatus
292,167,Hyporthodus niveatus
293,168,Hyporthodus niveatus
294,169,Hyporthodus niveatus
295,170,Laniisoma elegans
296,171,Thamnophilus caerulescens cearensis
297,172,Thamnophilus aethiops distans
298,173,Dysithamnus plumbeus
299,174,Myrmotherula urosticta
300,175,Monasa morphoeus morphoeus
301,176,Conopophaga cearae
302,176,Conopophaga lineata lineata
