,fk_nome_cientifico,fk_sigla
0,Apareiodon davisi, CE
1,Anablepsoides cearensis, CE
2,Hypsolebias longignatus, CE
3,Parotocinclus spilurus, CE
4,Adelophryne maranguapensis, CE
5,Rhinella casconi, CE
6,Proceratophrys ararype, CE
7,Typhochlaena curumim, CE
8,Hadrurochactas araripe, CE
9,Hadrurochactas brejo, CE
10,Rowlandius ubajara, CE
11,Numenius hudsonicus, CE
12,Antilophia bokermanni, CE
13,Hemitriccus mirandae, CE
14,Calidris pusilla, CE
15,Charadrius wilsonia, CE
16,Limnodromus griseus, CE
17,Odontophorus capueira plumbeicollis, CE
18,Penelope jacucaca, CE
19,Pyrrhura griseipectus, CE
20,Sclerurus cearensis, CE
21,Selenidera gouldii baturitensis, CE
22,Spinus yarrellii, CE
23,Tangara cyanocephala cearensis, CE
24,Thamnophilus caerulescens cearensis, CE
25,Xiphocolaptes falcirostris, CE
26,Xiphorhynchus guttatoides gracilirostris, CE
27,Conopophaga cearae, CE
28,Sterna dougallii, CE
29,Xiphorhynchus atlanticus, CE
30,Thalasseus maximus, CE
31,Carcharhinus longimanus, CE
32,Mustelus canis, CE
33,Mobula thurstoni, CE
34,Potiberaba porakuara, CE
35,Kerodon rupestris, CE
36,Rhipidomys cariri, CE
37,Lycalopex vetulus, CE
38,Leopardus tigrinus, CE
39,Herpailurus yagouaroundi, CE
40,Physeter macrocephalus, CE
41,Sotalia guianensis, CE
42,Trichechus inunguis, CE
43,Trichechus manatus, CE
44,Furipterus horrens, CE
45,Natalus macrourus, CE
46,Tolypeutes tricinctus, CE
47,Alouatta ululata, CE
48,Atractus ronnie, CE
49,Leposoma baturitensis, CE
50,Apareiodon davisi, PB
51,Chiasmocleis alagoana, PB
52,Typhochlaena curumim, PB
53,Iodopleura pipra, PB
54,Numenius hudsonicus, PB
55,Hemitriccus mirandae, PB
56,Tangara fastuosa, PB
57,Penelope superciliaris alagoensis, PB
58,Calidris pusilla, PB
59,Limnodromus griseus, PB
60,Odontophorus capueira plumbeicollis, PB
61,Penelope jacucaca, PB
62,Spinus yarrellii, PB
63,Xiphocolaptes falcirostris, PB
64,Schiffornis turdina intermedia, PB
65,Conopophaga cearae, PB
66,Automolus lammi, PB
67,Iodopleura pipra leucopygia, PB
68,Leptodon forbesi, PB
69,Myrmoderus ruficauda, PB
70,Platyrinchus mystaceus niveigularis, PB
71,Pyriglena pernambucensis, PB
72,Thamnophilus caerulescens pernambucensis, PB
73,Touit surdus, PB
74,Xenops minutus alagoanus, PB
75,Xipholena atropurpurea, PB
76,Synallaxis infuscata, PB
77,Xiphorhynchus atlanticus, PB
78,Seira arenicola, PB
79,Seira mataraquensis, PB
80,Seira pseudoannulata, PB
81,Morpho epistrophus nikolajewna, PB
82,Morpho menelaus eberti, PB
83,Heraclides himeros baia, PB
84,Melipona scutellaris, PB
85,Partamona littoralis, PB
