ID_UC,UF
1,SC
2,MG
3,DF
3,GO
4,DF
5,RJ
6,SC
7,PB
8,CE
8,PE
8,PI
9,PE
9,AL
10,RJ
11,MG
11,RJ
11,SP
12,TO
13,RJ
14,SP
15,PE
16,RJ
17,PR
18,AL
19,PI
19,MA
19,CE
20,MG
21,RS
22,PA
23,DF
23,GO
24,GO
24,MT
24,TO
25,MS
25,PR
25,SP
27,MG
28,GO
29,CE
29,PI
30,SP
31,DF
32,SP
34,RJ
35,RJ
36,SP
37,SP
38,AM
39,PB
40,SP
41,SP
43,AM
44,AC
45,SC
47,PA
48,CE
49,AM
50,RS
52,SC
53,AM
53,RO
54,PR
56,AM
57,RR
58,AP
59,AL
60,RR
61,MG
62,MT
63,RJ
64,SP
65,PI
66,CE
67,AP
67,PA
68,AC
69,RN
70,RS
71,SP
72,AM
73,SP
74,BA
75,MT
76,BA
76,TO
77,PR
78,SC
79,SP
80,SC
81,BA
82,RN
83,PA
84,RR
85,AM
86,DF
86,GO
87,RS
88,PA
89,PA
90,BA
91,ES
92,AM
93,SC
94,SP
95,PA
96,PA
97,RO
98,SP
99,PA
100,RN
101,ES
102,PI
103,MG
104,AM
105,MG
106,RR
107,AC
108,AC
109,PA
110,GO
111,CE
112,AM
113,AP
114,AM
115,CE
116,RO
117,PA
118,RO
119,AM
120,AC
121,AM
122,ES
123,PA
124,PA
125,PR
126,AM
127,RJ
128,GO
129,MG
130,RS
131,PR
132,PB
133,RS
134,SC
135,MG
136,AM
136,PA
137,BA
138,MT
139,GO
140,RS
141,RJ
142,RJ
142,SP
143,MS
144,MG
145,PI
146,PI
147,SE
148,MG
149,AC
150,SC
151,PA
152,RJ
153,RS
153,SC
154,RJ
155,GO
156,BA
156,TO
156,MA
156,PI
157,MG
158,RS
158,SC
159,DF
159,GO
160,ES
160,MG
161,MS
161,PR
162,CE
163,RO
164,PR
165,SC
166,PI
167,CE
168,TO
169,AP
170,PE
171,BA
172,PR
173,AM
174,RR
175,MS
175,MT
176,BA
177,AM
178,PR
179,RR
180,MA
181,ES
182,BA
183,MG
184,MG
184,RJ
185,BA
186,PE
187,AP
187,PA
188,RO
189,AM
189,RR
190,RS
191,ES
192,DF
193,MG
194,AM
195,ES
196,PB
197,AL
197,PE
198,PE
199,SE
200,PE
201,ES
202,BA
203,RN
204,ES
205,BA
205,ES
206,RO
207,MA
208,RO
209,AP
210,PA
211,PA
212,RJ
213,AM
214,SC
215,RJ
216,PA
217,RJ
218,PA
219,BA
220,AM
221,RO
222,AC
223,PA
225,MA
225,PI
226,MA
227,PA
228,PA
230,AM
231,CE
232,AC
233,RO
234,SP
235,AM
238,RO
239,AM
240,TO
241,PA
242,AM
243,PA
244,PA
245,BA
246,AL
247,PA
248,PA
249,PA
250,PA
251,RJ
252,BA
253,BA
254,PA
255,SC
256,RO
257,AC
258,PA
259,PA
260,PA
261,PR
261,SC
262,SC
263,RJ
264,PA
265,PA
266,PA
267,PA
