id_familia,nome_familia,fk_id_ordem
0,Accipitridae,0
1,Achiridae,69
2,Actiniidae,1
3,Aeglidae,30
4,Gecarcinidae,30
5,Aeshnidae,54
6,Gomphidae,54
7,Libellulidae,54
8,Megapodagrionidae,54
9,Alopiidae,50
10,Cetorhinidae,50
11,Lamnidae,50
12,Odontaspididae,50
13,Amphisbaenidae,90
14,Boidae,90
15,Dactyloidae,90
16,Dipsadidae,90
17,Gymnophthalmidae,90
18,Leiosauridae,90
19,Liolaemidae,90
20,Mabuyidae,90
21,Phyllodactylidae,90
22,Sphaerodactylidae,90
23,Teiidae,90
24,Tropidophiidae,90
25,Tropiduridae,90
26,Viperidae,90
27,Ampullariidae,13
28,Hydrobiidae,13
29,Anablepidae,29
30,Poeciliidae,29
31,Rivulidae,29
32,Anatidae,4
33,Andrenidae,48
34,Apidae,48
35,Formicidae,48
36,Anostomidae,20
37,Characidae,20
38,Crenuchidae,20
39,Cynodontidae,20
40,Lebiasinidae,20
41,Parodontidae,20
42,Prochilodontidae,20
43,Serrasalmidae,20
44,Apteronotidae,44
45,Sternopygidae,44
46,Ardeidae,63
47,Ariidae,86
48,Callichthyidae,86
49,Doradidae,86
50,Heptapteridae,86
51,Loricariidae,86
52,Pimelodidae,86
53,Pseudopimelodidae,86
54,Trichomycteridae,86
55,Aromobatidae,6
56,Brachycephalidae,6
57,Bufonidae,6
58,Ceratophryidae,6
59,Craugastoridae,6
60,Cycloramphidae,6
61,Eleutherodactylidae,6
62,Hylidae,6
63,Hylodidae,6
64,Leiuperidae,6
65,Leptodactylidae,6
66,Microhylidae,6
67,Odontophrynidae,6
68,Phyllomedusidae,6
69,Strabomantidae,6
70,Arrhopalitidae,96
71,Artesiidae,3
72,Bogidiellidae,3
73,Dogielinotidae,3
74,Hyalellidae,3
75,Mesogammaridae,3
76,Sebidae,3
77,Asteriidae,38
78,Astropectinidae,62
79,Luidiidae,62
80,Atelidae,73
81,Callitrichidae,73
82,Cebidae,73
83,Pitheciidae,73
84,Atherinopsidae,11
85,Baetidae,35
86,Leptophlebiidae,35
87,Balaenidae,19
88,Balaenopteridae,19
89,Delphinidae,19
90,Iniidae,19
91,Physeteridae,19
92,Pontoporiidae,19
93,Blattellidae,12
94,Bochicidae,76
95,Chernetidae,76
96,Chthoniidae,76
