,fk_id_unidade,fk_id_bioma
0,1,3
1,1,6
2,2,1
3,2,2
4,3,2
5,4,2
6,5,3
7,6,3
8,6,6
9,7,1
10,7,3
11,7,6
12,8,1
13,9,3
14,9,6
15,10,3
16,11,3
17,12,2
18,13,3
19,13,6
20,14,3
21,14,6
22,15,3
23,15,6
24,16,3
25,16,6
26,17,3
27,17,6
28,18,3
29,18,6
30,19,1
31,19,2
32,19,6
33,20,2
34,21,4
35,22,0
36,23,2
37,24,2
38,25,2
39,25,3
40,27,2
41,27,3
42,28,2
43,29,1
44,29,2
45,30,2
46,31,2
47,32,2
48,34,3
49,34,6
50,35,3
51,36,3
52,37,3
53,37,6
54,38,0
55,39,3
56,39,6
57,40,3
58,41,3
59,43,0
60,44,0
61,45,3
62,47,0
63,48,1
64,49,0
65,50,3
66,52,3
67,52,6
68,53,0
69,54,3
70,54,6
71,56,0
72,57,0
73,58,0
74,58,6
75,59,3
76,60,0
77,61,2
78,62,5
79,63,3
80,63,6
81,64,3
82,64,6
83,65,2
84,66,1
85,67,0
86,68,0
87,69,1
88,70,4
89,70,6
90,71,3
91,71,6
92,72,0
93,73,3
94,74,1
95,75,2
96,76,2
97,77,3
98,78,3
99,79,2
100,79,3
101,80,3
102,81,1
103,82,1
104,83,0
105,84,0
106,85,0
107,86,2
108,87,3
109,88,0
110,89,0
111,90,2
112,91,3
113,92,0
114,93,3
115,94,3
116,95,0
117,96,0
118,97,0
119,98,3
120,99,0
121,100,3
122,101,3
123,102,2
124,103,2
125,104,0
126,105,3
127,106,0
128,107,0
129,108,0
130,109,0
131,110,2
132,111,1
133,112,0
134,113,0
135,114,0
136,115,1
137,116,0
138,117,0
139,118,0
140,119,0
141,120,0
142,121,0
143,122,3
144,123,0
145,124,0
146,125,3
147,126,0
148,127,3
149,128,2
150,129,3
151,130,3
152,131,3
153,132,3
154,133,3
155,134,3
156,135,1
157,135,2
158,136,0
159,137,1
160,138,2
161,139,2
162,140,4
163,140,6
164,141,3
165,141,6
166,142,3
167,142,6
168,143,2
169,144,2
170,145,1
171,146,1
172,146,2
173,147,1
174,147,3
175,148,2
176,148,3
177,149,0
178,150,3
179,151,0
180,152,3
181,153,3
182,154,3
183,155,2
184,156,2
185,157,2
186,158,3
187,159,2
188,160,3
189,161,3
190,162,1
191,162,6
192,163,0
193,164,3
194,165,3
195,166,2
196,167,1
197,168,2
198,169,0
199,169,6
200,170,1
201,171,3
