,fk_nome_cientifico,fk_ID_UC
0,Aburria cujubi,96
1,Aburria cujubi,138
2,Aburria cujubi,461
3,Aburria cujubi,1501
4,Aburria cujubi,284
5,Aburria jacutinga,14
6,Aburria jacutinga,1521
7,Aburria jacutinga,17
8,Aburria jacutinga,25
9,Aburria jacutinga,122
10,Aburria jacutinga,161
11,Aburria jacutinga,182
12,Aburria jacutinga,202
13,Aburria jacutinga,234
14,Aburria jacutinga,1716
15,Aburria jacutinga,737
16,Aburria jacutinga,501
17,Aburria jacutinga,201
18,Alouatta belzebul,293
19,Alouatta belzebul,1888
20,Alouatta belzebul,1885
21,Alouatta belzebul,1520
22,Alouatta belzebul,207
23,Alouatta discolor,265
24,Alouatta discolor,47
25,Alouatta discolor,116
26,Alouatta discolor,95
27,Alouatta discolor,96
28,Alouatta discolor,266
29,Alouatta discolor,267
30,Alouatta guariba guariba,363
31,Alouatta guariba guariba,201
32,Alouatta guariba guariba,91
33,Alouatta guariba guariba,171
34,Alouatta guariba guariba,204
35,Alouatta guariba guariba,169
36,Alouatta guariba guariba,205
37,Alouatta guariba guariba,331
38,Alouatta guariba guariba,394
39,Alouatta guariba guariba,1212
40,Alouatta guariba guariba,182
41,Alouatta guariba guariba,193
42,Alouatta ululata,19
43,Alouatta ululata,29
44,Alouatta ululata,102
45,Alouatta ululata,167
46,Alouatta ululata,225
47,Alouatta ululata,1888
48,Amadonastur lacernulatus,217
49,Amadonastur lacernulatus,1702
50,Amadonastur lacernulatus,10
51,Amadonastur lacernulatus,737
52,Amadonastur lacernulatus,312
53,Amadonastur lacernulatus,5
54,Amadonastur lacernulatus,1703
55,Amadonastur lacernulatus,500
56,Amadonastur lacernulatus,17
57,Amadonastur lacernulatus,164
58,Amazona rhodocorytha,10
59,Amazona rhodocorytha,217
60,Amazona rhodocorytha,312
61,Amazona rhodocorytha,312
62,Amazona vinacea,787
63,Amazona vinacea,1019
64,Amazona vinacea,406
65,Amazona vinacea,786
66,Amazona vinacea,1676
67,Amazona vinacea,2002
68,Amazona vinacea,1969
69,Amazona vinacea,826
70,Amazona vinacea,394
71,Amazona vinacea,385
72,Amazona vinacea,800
73,Amazona vinacea,844
74,Amazona vinacea,1521
75,Amazona vinacea,402
76,Amazona vinacea,548
77,Amazona vinacea,498
78,Amazona vinacea,1988
79,Amazona vinacea,1996
80,Amazona vinacea,1716
81,Amazona vinacea,1715
82,Amazona vinacea,1713
83,Amazona vinacea,1709
84,Amazona vinacea,1698
85,Amazona vinacea,193
86,Amazona vinacea,165
87,Amazona vinacea,182
88,Amazona vinacea,160
89,Amazona vinacea,1718
90,Amazona vinacea,78
91,Amazona vinacea,161
92,Amazona vinacea,153
93,Amazona vinacea,142
94,Amazona vinacea,137
95,Amazona vinacea,262
96,Amazona vinacea,158
97,Amazona vinacea,133
98,Amazona vinacea,14
99,Amazona vinacea,261
100,Amazona vinacea,11
101,Amazona vinacea,25
102,Amazona vinacea,17
103,Anodorhynchus leari,322
104,Anodorhynchus leari,74
105,Anumara forbesi,2253
106,Anumara forbesi,394
107,Anumara forbesi,408
108,Anumara forbesi,923
109,Anumara forbesi,197
110,Anumara forbesi,59
111,Anumara forbesi,975
112,Ateles belzebuth,1008
113,Ateles belzebuth,189
114,Ateles belzebuth,106
115,Ateles belzebuth,114
116,Ateles chamek,989
117,Ateles chamek,985
118,Ateles chamek,221
119,Ateles chamek,271
120,Ateles chamek,1506
121,Ateles marginatus,268
122,Ateles marginatus,47
123,Ateles marginatus,270
124,Ateles marginatus,96
125,Ateles marginatus,95
126,Ateles marginatus,265
127,Ateles marginatus,216
128,Ateles marginatus,151
129,Ateles marginatus,258
130,Ateles marginatus,266
131,Ateles marginatus,267
132,Atelocynus microtis,284
133,Atelocynus microtis,1633
134,Blastocerus dichotomus,420
135,Blastocerus dichotomus,25
136,Brachyteles arachnoides,1521
137,Calidris pusilla,199
138,Callithrix aurita,1715
139,Callithrix aurita,11
140,Campylorhamphus cardosoi,266
141,Campylorhamphus cardosoi,116
142,Campylorhamphus cardosoi,270
143,Campylorhamphus cardosoi,265
144,Campylorhamphus multostriatus,124
145,Campylorhamphus trochilirostris trochilirostris,171
146,Campylorhamphus trochilirostris trochilirostris,312
147,Capito dayi,281
148,Capito dayi,770
149,Capito dayi,216
150,Capito dayi,118
151,Capito dayi,208
152,Capito dayi,264
153,Capito dayi,267
154,Capito dayi,119
155,Capito dayi,265
156,Cebus kaapori,207
157,Celeus torquatus pieteroyensi,207
158,Celeus torquatus pieteroyensi,1023
159,Chamaeza nobilis fulvipectus,268
160,Chamaeza nobilis fulvipectus,83
161,Charadrius wilsonia,19
162,Chiropotes satanas,1029
163,Chiropotes utahickae,89
164,Cnipodectes superrufus,68
165,Cnipodectes superrufus,940
