,ID_UC,Nome da UC,Ano de Criação,Esfera Administrativa
0,1,ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM,1992,Federal
1,2,ÁREA DE PROTEÇÃO AMBIENTAL CAVERNAS DO PERUAÇU,1989,Federal
2,3,ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO DESCOBERTO,1983,Federal
3,4,ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO BARTOLOMEU,1983,Federal
4,5,ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO JOÃO - MICO LEÃO,2002,Federal
5,6,ÁREA DE PROTEÇÃO AMBIENTAL DA BALEIA FRANCA,2000,Federal
6,7,ÁREA DE PROTEÇÃO AMBIENTAL BARRA DO RIO MAMANGUAPE,1993,Federal
7,8,ÁREA DE PROTEÇÃO AMBIENTAL CHAPADA DO ARARIPE,1997,Federal
8,9,ÁREA DE PROTEÇÃO AMBIENTAL COSTA DOS CORAIS,1997,Federal
9,10,ÁREA DE PROTEÇÃO AMBIENTAL DE PETRÓPOLIS,1982,Federal
10,11,ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA,1985,Federal
11,12,ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA TABATINGA,1990,Federal
12,13,ÁREA DE PROTEÇÃO AMBIENTAL DE CAIRUÇU,1983,Federal
13,14,ÁREA DE PROTEÇÃO AMBIENTAL DE CANANÉIA-IGUAPÉ-PERUÍBE,1984,Federal
14,15,ÁREA DE PROTEÇÃO AMBIENTAL DE FERNANDO DE NORONHA,1986,Federal
15,16,ÁREA DE PROTEÇÃO AMBIENTAL DE GUAPI-MIRIM,1984,Federal
16,17,ÁREA DE PROTEÇÃO AMBIENTAL DE GUARAQUEÇABA,1985,Federal
17,18,ÁREA DE PROTEÇÃO AMBIENTAL DE PIAÇABUÇU,1983,Federal
18,19,ÁREA DE PROTEÇÃO AMBIENTAL DELTA DO PARNAIBA,1996,Federal
19,20,ÁREA DE PROTEÇÃO AMBIENTAL CARSTE DA LAGOA SANTA,1990,Federal
20,21,ÁREA DE PROTEÇÃO AMBIENTAL IBIRAPUITÃ,1992,Federal
21,22,ÁREA DE PROTEÇÃO AMBIENTAL DO IGARAPÉ GELADO,1989,Federal
22,23,ÁREA DE PROTEÇÃO AMBIENTAL DO PLANALTO CENTRAL,2002,Federal
23,24,ÁREA DE PROTEÇÃO AMBIENTAL MEANDROS DO ARAGUAIA,1998,Federal
24,25,ÁREA DE PROTEÇÃO AMBIENTAL ILHAS E VÁRZEAS DO RIO PARANÁ,1997,Federal
25,27,ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA,1990,Federal
26,28,ÁREA DE PROTEÇÃO AMBIENTAL DAS NASCENTES DO RIO VERMELHO,2001,Federal
27,29,ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA IBIAPABA,1996,Federal
28,30,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO BURITI DE VASSUNUNGA,1990,Federal
29,31,ÁREA DE RELEVANTE INTERESSE ECOLÓGICA CAPETINGA/TAQUARA,1985,Federal
30,32,ÁREA DE RELEVANTE INTERESSE ECOLÓGICA PÉ-DE-GIGANTE,1990,Federal
31,34,MONUMENTO NATURAL DAS ILHAS CAGARRAS,1989,Federal
32,35,ÁREA DE RELEVANTE INTERESSE ECOLÓGICA FLORESTA DA CICUTA,1985,Federal
33,36,ÁREA DE RELEVANTE INTERESSE ECOLÓGICA ILHA AMEIXAL,1985,Federal
34,37,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS QUEIMADA GRANDE E QUEIMADA PEQUENA,1985,Federal
35,38,ÁREA DE RELEVANTE INTERESSE ECOLÓGICA JAVARI BURITI,1985,Federal
36,39,ÁREA DE RELEVANTE INTERESSE ECOLÓGICA MANGUEZAIS DA FOZ DO RIO MAMANGUAPE,1985,Federal
37,40,ÁREA DE RELEVANTE INTERESSE ECOLÓGICA MATA DE SANTA GENEBRA,1985,Federal
38,41,ÁREA DE RELEVANTE INTERESSE ECOLÓGICA MATÃO DE COSMÓPOLIS,1985,Federal
39,43,ÁREA DE RELEVANTE INTERESSE ECOLÓGICA PROJETO DINÂMICA BIOLÓGICA DE FRAGMENTOS FLORESTAIS,1985,Federal
40,44,ÁREA DE RELEVANTE INTERESSE ECOLÓGICA SERINGAL NOVA ESPERANÇA,1999,Federal
41,45,ÁREA DE RELEVANTE INTERESSE ECOLÓGICA SERRA DA ABELHA,1996,Federal
42,47,ESTAÇÃO ECOLÓGICA DA TERRA DO MEIO,2005,Federal
43,48,ESTAÇÃO ECOLÓGICA DE AIUABA,2001,Federal
44,49,PARQUE NACIONAL DE ANAVILHANAS,1981,Federal
45,50,ESTAÇÃO ECOLÓGICA DE ARACURI-ESMERALDA,1981,Federal
46,52,ESTAÇÃO ECOLÓGICA DE CARIJÓS,1987,Federal
47,53,ESTAÇÃO ECOLÓGICA DE CUNIÃ,2001,Federal
48,54,ESTAÇÃO ECOLÓGICA DE GUARAQUEÇABA,1982,Federal
49,56,ESTAÇÃO ECOLÓGICA DE JUTAÍ-SOLIMÕES,1983,Federal
50,57,ESTAÇÃO ECOLÓGICA DE MARACÁ,1981,Federal
51,58,ESTAÇÃO ECOLÓGICA DE MARACÁ JIPIOCA,1981,Federal
52,59,ESTAÇÃO ECOLÓGICA DE MURICI,2001,Federal
